trading_name,ticker
DBS,D05.SI
Singtel,Z74.SI
UOB,U11.SI
OCBC Bank,O39.SI
YZJ Shipbldg SGD,BS6.SI
Seatrium Ltd,5E2.SI
CapLand IntCom T,C38U.SI
SIA,C6L.SI
Mapletree Log Tr,M44U.SI
CapLand Ascendas REIT,A17U.SI
Wilmar Intl,F34.SI
Mapletree PanAsia Com Tr,N2IU.SI
Keppel,BN4.SI
JMH USD,J36.SI
CapitaLandInvest,9CI.SI
ST Engineering,S63.SI
Genting Sing,G13.SI
Jardine C&C,C07.SI
Keppel Reit,K71U.SI
Golden Agri-Res,E5H.SI
Venture,V03.SI
UOL,U14.SI
Mapletree Ind Tr,ME8U.SI
SGX,S68.SI
CityDev,C09.SI
Keppel DC Reit,AJBU.SI
ThaiBev,Y92.SI
Sembcorp Ind,U96.SI
Suntec Reit,T82U.SI
ComfortDelGro,C52.SI
HongkongLand USD,H78.SI
UMS,558.SI
Frasers Cpt Tr,J69U.SI
Frasers L&C Tr,BUOU.SI
DigiCore Reit USD,DCRU.SI
CapLand Ascott T,HMN.SI
Kep Infra Tr,A7RU.SI
SATS,S58.SI
ESR-LOGOS REIT,J91U.SI
NetLink NBN Tr,CJLU.SI
Frencken,E28.SI
Mermaid Maritime,DU4.SI
ParkwayLife Reit,C2PU.SI
Yoma Strategic,Z59.SI
AIMS APAC Reit,O5RU.SI
Riverstone,AP4.SI
IS ASIA HYG US$,O9P.SI
HSI 18400MBeCW240730,VU5W.SI
HSI 19400MBeCW240927,FMSW.SI
Great Eastern,G07.SI
Sheng Siong,OV8.SI
Lendlease Reit,JYEU.SI
Dyna-Mac,NO4.SI
AEM SGD,AWX.SI
COSCO SHP SG,F83.SI
CapLand China T,AU8U.SI
Rex Intl,5WH.SI
CapLand India T,CY6U.SI
IFAST,AIY.SI
HSI 19200MBeCW240829,UNOW.SI
GLD SG$,GSD.SI
SingPost,S08.SI
SamuderaShipping,S56.SI
HSI 21500MBeCW250328,GDJW.SI
YZJ Fin Hldg,YF8.SI
Raffles Medical,BSL.SI
HSI 17800MBePW240730,XFPW.SI
Soilbuild Const,S7P.SI
PARAGONREIT,SK6U.SI
Geo Energy Res,RE4.SI
DFIRG USD,D01.SI
HPH Trust USD,NS8U.SI
Far East HTrust,Q5T.SI
HSI 17600MBePW240927,YKHW.SI
Nanofilm,MZH.SI
Lion-OCBC Sec HSTECH S$,HST.SI
OUEREIT,TS0U.SI
SIA Engineering,S59.SI
Cromwell Reit EUR,CWBU.SI
CDL HTrust,J85.SI
Beng Kuang^,BEZ.SI
Haw Par,H02.SI
StarhillGbl Reit,P40U.SI
Best World,CGN.SI
STI ETF,ES3.SI
StarHub,CC3.SI
GLD US$,O87.SI
First Resources,EB5.SI
CSOP iEdge SREIT ETF S$,SRT.SI
HSTECH 3600MBePW240927,Y5FW.SI
ICBC CSOP CGB ETF US$D,CYB.SI
Wing Tai,W05.SI
Top Glove,BVA.SI
Olam Group,VC2.SI
Japfa,UD2.SI
Yanlord Land,Z25.SI
Frasers HTrust,ACV.SI
Wilton Resources,5F7.SI
NamCheong,1MZ.SI
Bumitama Agri,P8Z.SI
HSTECH 4100MBeCW240927,XMKW.SI
Medtecs Intl,546.SI
Biolidics,8YY.SI
RH PetroGas,T13.SI
Aztech Gbl,8AZ.SI
Boustead,F9D.SI
Broadway Ind,B69.SI
Silverlake Axis,5CP.SI
ICBC CSOP CGB ETF S$,CYC.SI
TJ DaRenTang USD,T14.SI
Dyna-Mac W241022,8L9W.SI
HSI 7xLongSG251218,ECSW.SI
LION-PHILLIP S-REIT,CLR.SI
Sasseur Reit,CRPU.SI
Alibaba 5xLongSG241126,DEQW.SI
NikkoAM-STC Asia REIT,CFA.SI
MarcoPolo Marine,5LY.SI
ISDN,I07.SI
PacificRadiance,RXS.SI
Chasen,5NV.SI
NikkoAM SGD IGBond ETF,MBH.SI
Straits Trading,S20.SI
Taka Jewellery,42L.SI
TencentMBeCW241104,5C6W.SI
Bukit Sembawang,B61.SI
Centurion,OU8.SI
Ley Choon,Q0X.SI
Oiltek,HQU.SI
Wee Hur,E3B.SI
Tencent 5xLongSG250716,DRPW.SI
XIAOMI MBeCW241104,UNFW.SI
Hong Fok,H30.SI
ASL Marine^,A04.SI
Valuetronics,BN2.SI
ManulifeReit USD,BTOU.SI
Meituan 5xLongUB251128,1M8W.SI
Cromwell Reit SGD,CWCU.SI
Kim Heng,5G2.SI
Emperador Inc.,EMI.SI
